BNpcName,BNpcNameId,BNpcBaseId,TerritoryId,Placename,Level
ground squirrel,37,37,f1f1,Central Shroud,2
ground squirrel,37,37,f1f1,Central Shroud,1
forest funguar,47,47,f1f1,Central Shroud,3
forest funguar,47,47,f1f1,Central Shroud,4
chigoe,43,43,f1f1,Central Shroud,5
anole,120,142,f1f1,Central Shroud,9
chigoe,43,43,f1f1,Central Shroud,7
diremite,10,10,f1f1,Central Shroud,10
roselet,22,22,f1f1,Central Shroud,10
tree slug,39,39,f1f1,Central Shroud,11
diremite,10,10,f1f1,Central Shroud,12
toadstool,48,48,f1f1,Central Shroud,29
toadstool,48,48,f1f1,Central Shroud,32
chigoe,43,43,f1f1,Central Shroud,9
microchu,32,32,f1f1,Central Shroud,6
microchu,32,32,f1f1,Central Shroud,8
syrphid swarm,41,41,f1f1,Central Shroud,8
trickster imp,21,21,f1f1,Central Shroud,9
death gaze,55,58,f1f1,Central Shroud,33
floating eye,207,182,f1f1,Central Shroud,31
stroper,238,304,f1f1,Central Shroud,31
lindwurm,130,53,f1f1,Central Shroud,33
magicked bones,20,20,f1f1,Central Shroud,13
firefly,129,306,f1f1,Central Shroud,12
northern vulture,12,12,f1f2,East Shroud,11
goblin hunter,225,769,f1f2,East Shroud,11
tree slug,39,39,f1f2,East Shroud,10
wild hoglet,14,14,f1f2,East Shroud,14
tree slug,39,39,f1f2,East Shroud,12
northern vulture,12,12,f1f2,East Shroud,13
lemur,6,6,f1f2,East Shroud,15
giant gnat,7,7,f1f2,East Shroud,16
faerie funguar,220,47,f1f2,East Shroud,16
lemur,6,6,f1f2,East Shroud,18
gall gnat,2157,7,f1f2,East Shroud,21
overgrown ivy,214,33,f1f2,East Shroud,21
lemur,6,6,f1f2,East Shroud,17
wild boar,16,15,f1f2,East Shroud,20
jumping djigga,44,44,f1f2,East Shroud,24
swollen djigga,2187,2264,f1f2,East Shroud,24
wild boar,16,15,f1f2,East Shroud,21
sylvan screech,64,762,f1f2,East Shroud,43
sylvan sigh,65,763,f1f2,East Shroud,43
sylvan snarl,66,764,f1f2,East Shroud,42
ochu,33,33,f1f2,East Shroud,44
midland condor,566,13,f1f3,South Shroud,32
stroper,238,304,f1f3,South Shroud,34
midland condor,566,13,f1f3,South Shroud,30
deepvoid deathmouse,170,143,f1f3,South Shroud,37
treant,24,24,f1f3,South Shroud,36
antelope doe,3,3,f1f3,South Shroud,23
bark eft,228,161,f1f3,South Shroud,23
antelope doe,3,3,f1f3,South Shroud,20
ground squirrel,37,37,f1f4,North Shroud,1
ground squirrel,37,37,f1f4,North Shroud,2
miteling,9,9,f1f4,North Shroud,3
miteling,9,9,f1f4,North Shroud,4
opo-opo,5,5,f1f4,North Shroud,5
opo-opo,5,5,f1f4,North Shroud,7
banemite,11,11,f1f4,North Shroud,25
Shroud hare,40,40,f1f4,North Shroud,25
yarzon scavenger,227,42,f1f4,North Shroud,26
Shroud hare,40,40,f1f4,North Shroud,28
banemite,11,11,f1f4,North Shroud,27
clay golem,30,30,f1f4,North Shroud,28
pumice golem,2188,2265,f1f4,North Shroud,28
dryad,25,25,f1f4,North Shroud,37
kedtrap,23,23,f1f3,South Shroud,24
kedtrap,23,23,f1f3,South Shroud,22
overgrown offering,215,33,f1f3,South Shroud,22
kedtrap,23,23,f1f3,South Shroud,21
smallmouth orobon,234,302,f1f3,South Shroud,21
river yarzon,226,159,f1f3,South Shroud,25
antelope stag,4,4,f1f3,South Shroud,25
antelope stag,4,4,f1f3,South Shroud,28
wild hog,15,16,f1f3,South Shroud,45
wild hog,15,16,f1f3,South Shroud,46
ked,8,8,f1f3,South Shroud,47
